Kao Corp,0.07,8 600,3 113 275
Sherwin-Williams Co/The,0.07,1 477,3 094 122
Statoil ASA,0.07,19 400,3 084 600
Mead Johnson Nutrition Co,0.07,4 265,3 082 764
CRH Plc,0.07,14 425,3 059 090
Apache Corp,0.07,5 916,3 049 273
Volvo B,0.07,29 420,3 047 839
Viacom Inc,0.07,5 814,3 042 702
Boston Scientific Corp,0.07,22 650,3 041 501
Singapore Telecommunications Ltd,0.07,120 600,3 039 448
Sse Plc,0.07,16 948,3 036 156
Keyence Corp,0.07,750,3 035 735
Equity Residential,0.07,5 437,3 026 082
Comcast Corp,0.07,6 968,3 023 899
Broadcom Corp,0.07,9 049,3 014 283
Nokia Oyj,0.07,58 728,2 997 677
Fresenius SE & Co KGaA,0.07,6 618,2 991 074
Chubb Corp/The,0.07,4 035,2 990 405
Ventas Inc,0.07,5 739,2 979 666
Unibail-Rodamco SE,0.07,1 422,2 970 098
HCA Holdings Inc,0.07,5 317,2 965 303
VF Corp,0.07,5 416,2 956 033
Rockwell Automation Inc,0.07,3 297,2 946 563
Baker Hughes Inc,0.07,5 680,2 930 200
Roper Technologies Inc,0.07,2 311,2 928 603
Shin-Etsu Chemical Co Ltd,0.07,6 300,2 917 763
Ameriprise Financial Inc,0.07,3 084,2 911 442
O'Reilly Automotive Inc,0.07,1 766,2 898 815
Macy's Inc,0.07,5 938,2 891 921
Health Care REIT Inc,0.07,5 327,2 890 999
Alimentation Couche-Tard Inc,0.07,10 029,2 881 309
Conagra Foods Inc,0.07,10 571,2 879 628
Mitsui & Co Ltd,0.07,27 200,2 878 288
Sampo Oyj,0.07,7 858,2 877 031
Renault Sa,0.07,3 602,2 867 675
Denso Corp,0.07,7 600,2 854 158
Legal & General Group Plc,0.07,94 504,2 845 371
Whole Foods Market Inc,0.07,7 900,2 843 174
Essilor International Sa,0.07,3 082,2 840 263
Telstra Corp Ltd,0.06,76 160,2 820 112
Orix Corp,0.06,24 000,2 802 624
Cerner Corp,0.06,5 168,2 796 530
Autozone Inc,0.06,551,2 792 925
Sempra Energy,0.06,3 487,2 789 754
Ingersoll-Rand Plc,0.06,5 615,2 785 811
Hess Corp,0.06,4 790,2 775 709
Western Digital Corp,0.06,3 743,2 756 794
Moody's Corp,0.06,3 388,2 745 015
Svenska Handelsbanken AB A,0.06,7 879,2 740 250
Swedbank AB A,0.06,15 562,2 730 041
Magna International Inc,0.06,7 210,2 727 201
Tesla Motors Inc,0.06,1 600,2 725 440
Marathon Oil Corp,0.06,11 609,2 720 616
Heineken NV,0.06,4 578,2 719 850
Ross Stores Inc,0.06,3 640,2 712 201
Parker-Hannifin Corp,0.06,3 007,2 704 608
CenturyLink Inc,0.06,9 967,2 700 824
Henkel AG & Co KGaA,0.06,3 045,2 690 280
Assa Abloy B,0.06,6 139,2 686 317
Carrefour SA,0.06,10 154,2 677 158
International Paper Co,0.06,6 597,2 670 512
St Jude Medical Inc,0.06,5 056,2 668 869
Las Vegas Sands Corp,0.06,6 697,2 668 602
Waste Management Inc,0.06,7 094,2 647 717
Boston Properties Inc,0.06,2 640,2 632 138
T Rowe Price Group Inc,0.06,4 301,2 631 059
Prologis Inc,0.06,8 681,2 629 710
Repsol SA,0.06,16 815,2 622 526
Estee Lauder Cos Inc/The,0.06,4 280,2 621 760
Fuji Heavy Industries Ltd,0.06,10 341,2 620 603
Analog Devices Inc,0.06,5 621,2 619 360
Akzo Nobel NV,0.06,4 527,2 615 393
Zoetis Inc,0.06,7 813,2 615 221
Franklin Resources Inc,0.06,6 725,2 612 867
Dr Pepper Snapple Group Inc,0.06,4 647,2 611 603
Public Service Enterprise Group Inc,0.06,8 333,2 608 435
PPL Corp,0.06,10 130,2 597 667
Alliance Data Systems Corp,0.06,1 157,2 592 119
Dollar General Corp,0.06,4 710,2 580 638
Avalonbay Communities Inc,0.06,2 078,2 573 362
National Oilwell Varco Inc,0.06,6 245,2 560 491
Fiserv Inc,0.06,4 370,2 555 378
Sun Life Financial Inc,0.06,10 628,2 552 875
Keurig Green Mountain Inc,0.06,2 899,2 542 151
Intuitive Surgical Inc,0.06,680,2 541 471
Assicurazioni Generali Spa,0.06,17 160,2 532 807
L Brands Inc,0.06,3 759,2 531 206
Holcim Ltd,0.06,4 151,2 524 023
Fresenius Medical Care Ag & Co Kgaa,0.06,3 961,2 521 607
Nippon Steel & Sumitomo Metal Corp,0.06,126 930,2 501 701
Associated British Foods PLC,0.06,7 494,2 479 358
Atlas Copco A,0.06,10 539,2 477 505
Marriott International Inc/Md,0.06,4 084,2 463 537
Omnicom Group Inc,0.06,4 309,2 459 963
Reed Elsevier Plc,0.06,19 620,2 458 338
Cie De Saint-Gobain,0.06,7 054,2 455 319
Asahi Group Holdings Ltd,0.06,10 100,2 452 047
Adidas AG,0.06,3 900,2 428 833
Sigma-Aldrich Corp,0.06,2 320,2 428 649
HCP Inc,0.06,7 966,2 418 520
Itochu Corp,0.06,25 900,2 413 728
WW Grainger Inc,0.06,1 284,2 403 705
Fidelity National Information Service...,0.05,5 072,2 388 371
Hershey Co/The,0.05,3 445,2 386 225
Fast Retailing Co Ltd,0.05,800,2 382 495
